iter	Passed	Remaining
0	161	161076
1	162	81167
2	163	54447
3	164	41003
4	165	32945
5	166	27552
6	167	23694
7	167	20795
8	168	18536
9	168	16724
10	169	15240
11	170	14008
12	170	12962
13	171	12066
14	171	11287
15	172	10613
16	173	10014
17	173	9483
18	174	9010
19	175	8584
20	175	8197
21	176	7844
22	177	7527
23	178	7247
24	179	6982
25	179	6737
26	180	6506
27	181	6292
28	181	6091
29	182	5904
30	183	5729
31	183	5565
32	184	5410
33	185	5264
34	186	5129
35	186	5001
36	187	4878
37	188	4763
38	188	4654
39	189	4549
40	190	4450
41	190	4354
42	191	4262
43	192	4175
44	192	4091
45	193	4013
46	194	3938
47	194	3865
48	195	3795
49	196	3729
50	196	3664
51	197	3603
52	198	3545
53	199	3487
54	199	3435
55	200	3382
56	201	3329
57	201	3278
58	202	3228
59	202	3179
60	203	3133
61	204	3088
62	204	3044
63	205	3002
64	205	2960
65	206	2921
66	206	2882
67	207	2841
68	207	2804
69	208	2769
70	208	2734
71	209	2701
72	210	2668
73	210	2636
74	211	2606
75	211	2575
76	212	2546
77	213	2517
78	213	2490
79	214	2463
80	214	2436
81	215	2410
82	215	2385
83	216	2360
84	216	2334
85	217	2310
86	217	2285
87	218	2263
88	218	2241
89	219	2219
90	220	2198
91	220	2177
92	221	2157
93	221	2137
94	222	2118
95	222	2099
96	223	2080
97	224	2062
98	224	2044
99	225	2027
100	225	2010
101	226	1991
102	226	1975
103	227	1958
104	227	1943
105	228	1928
106	229	1913
107	229	1899
108	230	1884
109	231	1869
110	231	1855
111	232	1840
112	232	1826
113	233	1813
114	233	1799
115	234	1785
116	234	1772
117	235	1759
118	235	1746
119	236	1734
120	237	1722
121	237	1710
122	237	1696
123	238	1685
124	239	1673
125	239	1662
126	240	1651
127	240	1639
128	241	1628
129	241	1618
130	242	1608
131	243	1598
132	243	1588
133	244	1578
134	244	1568
135	245	1559
136	246	1550
137	246	1540
138	247	1531
139	247	1522
140	248	1513
141	248	1504
142	249	1495
