iter	Passed	Remaining
0	129	129244
1	130	65118
2	131	43648
3	132	32885
4	132	26429
5	133	22124
6	134	19038
7	134	16719
8	135	14920
9	136	13474
10	136	12291
11	137	11335
12	139	10574
13	140	9873
14	140	9255
15	141	8705
16	142	8219
17	142	7788
18	143	7402
19	144	7062
20	145	6759
21	145	6475
22	146	6213
23	146	5971
24	147	5750
25	148	5544
26	148	5354
27	149	5180
28	149	5019
29	150	4870
30	151	4736
31	152	4616
32	153	4493
33	154	4376
34	154	4263
35	155	4156
36	155	4056
37	156	3962
38	157	3875
39	157	3790
40	158	3707
41	159	3629
42	159	3554
43	160	3482
44	160	3415
45	161	3349
46	162	3289
47	163	3234
48	163	3177
49	164	3121
50	164	3067
51	165	3015
52	166	2972
53	167	2927
54	167	2882
55	168	2840
56	169	2803
57	170	2762
58	170	2722
59	171	2682
60	171	2644
61	172	2608
62	172	2572
63	173	2538
64	174	2505
65	174	2476
66	175	2446
67	176	2417
68	176	2387
69	177	2358
70	178	2330
71	178	2303
72	179	2276
73	179	2250
74	180	2225
75	181	2204
76	182	2183
77	182	2161
78	183	2140
79	184	2118
80	184	2097
81	185	2076
82	185	2054
83	186	2034
84	187	2016
85	188	1998
86	188	1979
87	189	1961
88	189	1942
89	190	1925
90	190	1907
91	191	1890
92	192	1874
93	192	1858
94	193	1843
95	194	1830
96	195	1816
97	196	1806
98	197	1795
99	198	1783
100	198	1770
101	199	1759
102	200	1747
103	201	1734
104	202	1722
105	202	1710
106	203	1697
107	203	1684
108	204	1672
109	205	1660
110	205	1649
111	206	1637
112	207	1625
113	207	1614
114	208	1602
115	208	1591
116	209	1579
117	209	1568
118	210	1560
119	212	1559
120	213	1551
121	214	1541
122	214	1531
123	215	1521
124	215	1511
125	216	1502
126	217	1492
127	217	1482
128	218	1473
129	218	1465
130	219	1456
131	220	1447
132	220	1439
133	221	1430
134	222	1422
135	222	1414
136	223	1406
137	223	1398
138	224	1391
139	225	1383
140	226	1377
141	226	1369
142	227	1363
143	228	1356
144	228	1348
145	229	1342
146	230	1335
147	230	1328
148	231	1322
149	232	1316
150	232	1309
151	233	1302
152	234	1296
153	234	1290
154	235	1283
155	236	1277
156	236	1271
157	237	1265
158	238	1259
159	238	1253
160	239	1246
161	239	1240
162	240	1236
163	241	1231
164	242	1225
165	242	1220
166	243	1214
167	244	1209
168	244	1203
169	245	1198
170	246	1193
171	246	1187
172	247	1182
173	248	1177
174	248	1172
175	249	1167
